k0,k1
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198598,0.44698007518014016
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
0.5530199248198739,0.44698007518012617
